Category,Staff code,Date
Academic EXC Curious,JR,13/09/2016
Academic EXC Determined,SP,13/09/2016
Academic EXC Determined,SP,13/09/2016
Academic EXC Determined,SP,13/09/2016
Academic EXC Motivated,JKC,13/09/2016
Academic EXC Motivated,JKC,13/09/2016
Co-Curricular EXC Determined,AMD,13/09/2016
Co-Curricular EXC Motivated,AMD,13/09/2016
Co-Curricular EXC Motivated,AMD,13/09/2016
Incomplete Work,GSL,13/09/2016
Academic EXC Motivated,JLP,14/09/2016
Academic EXC Motivated,JKC,14/09/2016
Infraction,JKC,14/09/2016
Infraction,JKC,14/09/2016
Co-Curricular EXC General,SMC,14/09/2016
Academic EXC Independent,JH,14/09/2016
Academic EXC Independent,JH,14/09/2016
Academic EXC Independent,JH,14/09/2016
Academic EXC Motivated,PMM,14/09/2016
Academic EXC Independent,PMM,14/09/2016
Academic EXC Independent,PMM,14/09/2016
Academic EXC Independent,PMM,14/09/2016
Academic EXC Determined,JR,14/09/2016
Academic EXC Independent,JH,14/09/2016
Academic EXC Independent,JH,14/09/2016
Academic EXC Independent,JH,14/09/2016
Academic EXC Independent,JH,14/09/2016
Academic EXC Independent,JH,14/09/2016
Academic EXC Independent,JH,14/09/2016
Academic EXC Independent,JH,14/09/2016
Academic EXC Independent,JH,14/09/2016
Academic EXC Independent,JH,14/09/2016
Academic EXC Independent,JH,14/09/2016
Academic EXC Independent,JH,14/09/2016
Academic EXC Independent,JH,14/09/2016
Academic EXC Independent,JH,14/09/2016
Academic EXC Independent,JH,14/09/2016
Academic EXC Reflective,JR,14/09/2016
Academic EXC Reflective,JR,14/09/2016
Academic EXC Reflective,JR,14/09/2016
Academic EXC Determined,DJPS,14/09/2016
Academic EXC Determined,DJPS,14/09/2016
Academic EXC Determined,DJPS,14/09/2016
Academic EXC Independent,DJPS,14/09/2016
Academic EXC Independent,DJPS,14/09/2016
Academic EXC Motivated,ECH,14/09/2016
Academic EXC Determined,PWGM,14/09/2016
Academic EXC Determined,PWGM,14/09/2016
Academic EXC Determined,PWGM,14/09/2016
Academic EXC Determined,PWGM,14/09/2016
Academic EXC Determined,PWGM,14/09/2016
Academic EXC Determined,PWGM,14/09/2016
Academic EXC Open-minded,PWGM,14/09/2016
Academic EXC Open-minded,PWGM,14/09/2016
Academic EXC Motivated,GSL,14/09/2016
Academic EXC Motivated,GSL,14/09/2016
Academic EXC Motivated,GSL,14/09/2016
Co-Curricular EXC Determined,DJPS,14/09/2016
Co-Curricular EXC Determined,DJPS,14/09/2016
Academic EXC Motivated,DJPS,14/09/2016
Academic EXC Motivated,DJPS,14/09/2016
Co-Curricular EXC Determined,DJPS,14/09/2016
Co-Curricular EXC Determined,DJPS,14/09/2016
Academic EXC Motivated,AWD,14/09/2016
Academic EXC Motivated,AWD,14/09/2016
Academic EXC Motivated,AWD,14/09/2016
Academic EXC Motivated,AWD,14/09/2016
Academic EXC Motivated,AWD,14/09/2016
Academic EXC Motivated,AWD,14/09/2016
Infraction,AWD,14/09/2016
Academic EXC Motivated,AWD,14/09/2016
Academic EXC Motivated,AWD,14/09/2016
Academic EXC Determined,JKC,14/09/2016
Academic EXC Creative,JEA,14/09/2016
Academic EXC General,JEA,14/09/2016
Academic EXC General,JEA,14/09/2016
Co-Curricular EXC Determined,SLK,14/09/2016
Co-Curricular EXC Determined,SLK,14/09/2016
Co-Curricular EXC Determined,SLK,14/09/2016
Incomplete Work,SLK,14/09/2016
Incomplete Work,SLK,14/09/2016
Incomplete Work,SLK,14/09/2016
Incomplete Work,SLK,14/09/2016
Infraction,AFJH,14/09/2016
Academic EXC Curious,AFJH,14/09/2016
Co-Curricular EXC Motivated,SLK,14/09/2016
Academic EXC Motivated,JLP,14/09/2016
Random Act of Kindness - Good College Spirit EXC,LMP,14/09/2016
Random Act of Kindness - Good College Spirit EXC,LMP,14/09/2016
Random Act of Kindness - Good College Spirit EXC,LMP,14/09/2016
Co-Curricular EXC General,JKC,14/09/2016
Co-Curricular EXC General,JKC,14/09/2016
Co-Curricular EXC General,JKC,14/09/2016
Co-Curricular EXC General,JKC,14/09/2016
