Category code,Category,Staff code,Date
EXC7MO,Academic EXC Motivated,PWGM,13/09/2016
EXC7MO,Academic EXC Motivated,PWGM,13/09/2016
EXC7MO,Academic EXC Motivated,PWGM,13/09/2016
EXC7MO,Academic EXC Motivated,PWGM,13/09/2016
INCWOR,Incomplete Work,ARE,13/09/2016
INCWOR,Incomplete Work,LJA,13/09/2016
EXC7DE,Academic EXC Determined,SP,13/09/2016
EXC7DE,Academic EXC Determined,SP,13/09/2016
EXC7DE,Academic EXC Determined,SP,13/09/2016
EXC7DE,Academic EXC Determined,SP,13/09/2016
EXC7DE,Academic EXC Determined,SP,13/09/2016
INF,Infraction,SP,13/09/2016
INF,Infraction,SP,13/09/2016
EXC7CU,Academic EXC Curious,DRM,13/09/2016
EXC7CU,Academic EXC Curious,DRM,13/09/2016
EXC7CU,Academic EXC Curious,DRM,13/09/2016
EXC7CU,Academic EXC Curious,DRM,13/09/2016
EXC7CC,Co-Curricular EXC Curious,DRM,13/09/2016
EXC7CC,Co-Curricular EXC Curious,DRM,13/09/2016
EXC7MO,Academic EXC Motivated,APRD,13/09/2016
EXC7MO,Academic EXC Motivated,APRD,13/09/2016
INF,Infraction,AWD,13/09/2016
INF,Infraction,AWD,13/09/2016
INF,Infraction,AWD,13/09/2016
EXC7MO,Academic EXC Motivated,AWD,13/09/2016
EXC7CR,Academic EXC Creative,PSJ,13/09/2016
EXC7CR,Academic EXC Creative,PSJ,13/09/2016
EXC7CR,Academic EXC Creative,PSJ,13/09/2016
EXC7IN,Academic EXC Independent,TMA,13/09/2016
EXC7CR,Academic EXC Creative,PSJ,13/09/2016
EXC7IN,Academic EXC Independent,TMA,13/09/2016
EXC7IN,Academic EXC Independent,TMA,13/09/2016
EXC7IN,Academic EXC Independent,TMA,13/09/2016
EXCCUR,Academic EXC General,CAM,13/09/2016
EXC7MO,Academic EXC Motivated,PMM,13/09/2016
EXC7MO,Academic EXC Motivated,LJC,13/09/2016
EXC7DE,Academic EXC Determined,LJC,13/09/2016
EXC7MO,Academic EXC Motivated,PMM,13/09/2016
EXC7CU,Academic EXC Curious,RMDJ,13/09/2016
INF,Infraction,RMDJ,13/09/2016
EXC7IN,Academic EXC Independent,JR,13/09/2016
EXC7IN,Academic EXC Independent,JR,13/09/2016
EXC7IN,Academic EXC Independent,JR,13/09/2016
EXC7IN,Academic EXC Independent,JR,13/09/2016
EXC7IN,Academic EXC Independent,JR,13/09/2016
